PMID,Title,Authors,Abstract,Journal,Year,Country,DOI,PublicationType,MeSH,Keywords,methods&algorithms,organism
36184577,Selection and validation of reference genes for qPCR analysis of differentiation and maturation of THP-1 cells into M1 macrophage-like cells.,"Ren Guoqiang, Juhl Morten, Peng Qiuyue, Fink Trine, Porsborg Simone Riis","For cell-based assays studying monocytes and macrophages, the immortalized monocyte cell line THP-1 is widely used and stimulated with phorbol 12-myristate 13-acetate, lipopolysaccharide (LPS) and/or interferon-γ (IFN-γ), after which it differentiates and polarizes into proinflammatory M1-like macrophages. For the quantification of this and the effect of different factors affecting these processes, the expression levels of various maturation markers are determined using reverse transcription-quantitative PCR. For this purpose, stably expressed reference genes are crucial. However, no studies evaluating the stability of reference genes in THP-1 cells stimulated with LPS and IFN-γ have been performed. Therefore, this paper describes the selection of the most used reference genes [RPL37A (ribosomal protein L37a), GAPDH (glyceraldehyde-3-phosphate dehydrogenase), UBC (ubiquitin C), B2M (0β2-microbulin), ACTB (β-actin) and PPIA (cyclophilin A)], the in silico primer design, the analysis and the validation of these in accordance with the MIQE (Minimum Information for Publication of Quantitative Real-Time PCR Experiments) guidelines and more recent recommendations for the validation of the stability of reference genes. Using the RefFinder platform, including the four most popular algorithms for reference gene validation, the Delta CT, BestKeeper, NormFinder and geNorm, we find the reference genes GAPDH and UBC to be the most stable. Furthermore, we demonstrate that the normalization of gene expression data using the least stable reference genes, ACTB and B2M, dramatically affects the interpretation of experimental data. Taken together, it is vital to validate the stability of reference genes under the specific experimental conditions used when utilizing the THP-1 monocyte model system.",Immunology and cell biology,2022.0,United States,10.1111/imcb.12590,"Journal Article, Research Support, Non-U.S. Gov't","Humans, Real-Time Polymerase Chain Reaction, THP-1 Cells, Lipopolysaccharides, Macrophages, Monocytes, Tetradecanoylphorbol Acetate, Gene Expression Profiling","Interferon-γ, M1 macrophage-like cells, RT-qPCR, THP-1, lipopolysaccharide, reference gene","[reverse transcription-quantitative PCR, stably expressed reference genes, RPL37A, GAPDH, UBC, B2M, ACTB, PPIA, in silico primer design, MIQE guidelines, NormFinder, geNorm, Delta CT, BestKeeper, RefFinder]","THP-1 [immortalized monocyte cell line], monocytes, macrophages, phorbol 12-myristate 13-acetate, lipopolysaccharide (LPS), interferon-γ (IFN-γ), RPL37A (ribosomal protein L37a), GAPDH (glyceraldehyde-3-phosphate dehydrogenase), UBC (ubiquitin C), B2M (β2-microbulin), ACTB (β-actin), PPIA (cyclophilin A)"
34861601,Identification of best housekeeping genes for the normalization of RT-qPCR in human cell lines.,"da Conceição Braga Leticia, Gonçalves Bryan Ôrtero Perez, Coelho Pollyanne Lacerda, da Silva Filho Agnaldo Lopes, Silva Luciana Maria","The identification of the best reference gene is a critical step to evaluate the relative change in mRNA expression of a target gene by RT-qPCR. In this work, we evaluated nineteen genes of different functional classes using Real Time Human Reference Gene Panel (Roche Applied Sciences), to identify the internal housekeeping genes (HKGs) most suitable for gene expression normalization data in human cell lines. Normal cell lines CCD-19LU (lung fibroblast), HEK-293 (epithelial cell of embryonic kidney), WI-26 VA4 (lung fibroblast), and human cancer cells, BT-549 (breast cancer), Hs 578T (breast cancer), MACL-1 (breast cancer), HeLa (cervical carcinoma), U-87 MG (glioblastoma/astrocytoma), RKO-AS45-1 (colorectal carcinoma), and TOV-21G (ovarian adenocarcinoma) were cultivated according to manufacturer's protocol. Twelve candidate reference genes were commonly expressed in five cell lines (CCD-19Lu, HEK-293, RKO-AS45-1, TOV-21G, and U-87 MG). To verify the expression stability, we used the RefFinder web tool, which integrates data from the computational programs Normfinder, BestKeeper, geNorm, and the comparative Delta-Ct method. The ACTB was the most stable reference gene to the CCD-19Lu and HEK-293 cells. The best combination of HKGs for the RKO-AS45-1 and TOV-21G cell lines were B2M/GAPDH and PBGD/B2M, respectively. For the U-87 MG cells, GAPDH and IPO8 were the most suitable HKGs. Thus, our findings showed that it is crucial to use the right HKGs to precise normalize gene expression levels in cancer studies, once a suitable HKG for one cell type cannot be to the other.",Acta histochemica,2022.0,Germany,10.1016/j.acthis.2021.151821,Journal Article,"Adenocarcinoma, Genes, Essential, HEK293 Cells, Humans, Real-Time Polymerase Chain Reaction, Reference Standards","Housekeeping genes, Human cancer, MRNA expression levels, RT-qPCR","The methods and algorithms mentioned in the abstract are:
- Real Time Human Reference Gene Panel (Roche Applied Sciences)
- Cultivation of cell lines according to manufacturer's protocol
- Twelve candidate reference genes
- RefFinder web tool
- Normfinder
- BestKeeper
- geNorm
- Comparative Delta-Ct method
- ACTB
- B2M
- GAPDH
- PBGD
- IPO8","ACTB (human), B2M (human), GAPDH (human), IPO8 (human), PBGD (human), CCD-19LU (lung fibroblast), HEK-293 (epithelial cell of embryonic kidney), WI-26 VA4 (lung fibroblast), BT-549 (breast cancer), Hs 578T (breast cancer), MACL-1 (breast cancer), HeLa (cervical carcinoma), U-87 MG (glioblastoma/astrocytoma), RKO-AS45-1 (colorectal"
29323148,Reference gene identification and validation for quantitative real-time PCR studies in developing Xenopus laevis.,"Mughal Bilal B, Leemans Michelle, Spirhanzlova Petra, Demeneix Barbara, Fini Jean-Baptiste","Reference genes are essential for gene expression analysis when using real-time quantitative PCR (RT-qPCR). Xenopus laevis is a popular amphibian model for studying vertebrate embryogenesis and development. Further, X. laevis is ideal for studying thyroid signaling due to its thyroid dependent metamorphosis, a stage comparable to birth in humans. When using PCR based studies, a primary concern is the choice of reference genes. Commonly used references are eef1a1, odc1, rpl8, and actnB, although there is a lack of ad hoc reference genes for X. laevis. Here, we used previously published RNA-seq data on different X. laevis stages and identified the top 14 candidate genes with respect to their expression levels as a function of developmental stage and degree of variation. We further evaluated the stability of these and other candidate genes using RT-qPCR on various stages including the unfertilised eggs, whole embryos during early development and brains during late development. We used four different statistical software packages: deltaCT, geNorm, NormFinder and BestKeeper. We report optimized reference gene pair combinations for studying development (early whole embryos), brains at later stages (metamorphosis and adult), and  thyroid signalling. These reference gene pairs are suitable for studying different aspects of X. laevis development and organogenesis.",Scientific reports,2018.0,England,10.1038/s41598-017-18684-1,"Journal Article, Research Support, Non-U.S. Gov't","Animals, Brain, Databases, Genetic, Embryo, Nonmammalian, Embryonic Development, Female, Life Cycle Stages, Male, Metamorphosis, Biological, Ovum, RNA, Real-Time Polymerase Chain Reaction, Reference Standards, Signal Transduction, Thyroid Gland, Transcriptome, Xenopus Proteins, Xenopus laevis",,"[RNA-seq data, deltaCT, geNorm, NormFinder, BestKeeper]","Xenopus laevis, eef1a1, odc1, rpl8, actnB. Additionally, unfertilised eggs, whole embryos during early development, brains during late development (metamorphosis and adult) were mentioned but they are not organisms, rather developmental stages of Xenopus laevis."
37512513,"Real-Time Quantitative PCR: Primer Design, Reference Gene Selection, Calculations and Statistics.","Chen Zhiwei, Halford Nigel G, Liu Chenghong","Real-time quantitative PCR is a technique that can measure the content of the target nucleic acid sequence of interest in a given sample. It is mainly divided into absolute and relative quantitative methods. The relative quantification is mainly used in gene expressions for functional genomic and transcriptome studies. However, to use this technology accurately, there are some key points to master. First, specific primers need to be designed to ensure amplification of the gene of interest (GOI). Second, the appropriate reference gene or reference gene combination has to be selected. Finally, scientific gene expression level calculations and statistics are required to obtain accurate results. Therefore, this work proposes a workflow for relative quantitative PCR and introduces the relevant points so that beginners can better understand and use this technology.",Metabolites,2023.0,Switzerland,10.3390/metabo13070806,Journal Article,,"PCR efficiency, normalized relative quantity, quantitative real-time PCR, relative gene expression","[specific primer design, amplification of the gene of interest, selection of reference gene or reference gene combination, scientific gene expression level calculations, statistics]",None of the organisms are mentioned in the abstract. It is a general abstract about the technique of real-time quantitative PCR and its application in gene expression studies.
37170359,Selection and validation of reference genes for the normalization of quantitative real-time PCR in different muscle tissues of rabbits.,"Ni Mengke, Li Zhichao, Li Jing, He Hui, Wang Yaling, Jiang Yixuan, Wang Xianwei, Li Zhuanjian, Li Ming, Xu Huifen","In molecular biology studies, the selection of optimal reference genes is of vital importance for accurately quantifying gene expression. The purpose of the present study was to screen the most stable reference genes in different muscle tissues of New Zealand white rabbits and Yufeng yellow rabbits.",BMC zoology,2022.0,England,10.1186/s40850-022-00159-0,Journal Article,,"Muscle, Quantitative real-time PCR, Rabbits, Reference genes",- No specific methods or algorithms mentioned in the abstract.,"New Zealand white rabbits, Yufeng yellow rabbits (two different rabbit species)"
37756330,Selection and validation of internal control genes for quantitative real-time RT‒qPCR normalization of Phlebopus portentosus gene expression under different conditions.,"Hu Chen-Menghui, Zhou Chen-Li, Wan Jia-Ning, Guo Ting, Ji Guang-Yan, Luo Shun-Zhen, Ji Kai-Ping, Cao Yang, Tan Qi, Bao Da-Peng, Yang Rui-Heng","Phlebopus portentosus (Berk. and Broome) Boedijn is an attractive edible mushroom and is considered the only bolete for which artificial cultivation in vitro has been achieved. Gene expression analysis has become widely used in research on edible fungi and is important for elucidating the functions of genes involved in complex biological processes. Selecting appropriate reference genes is crucial to ensuring reliable RT‒qPCR gene expression analysis results. In our study, a total of 12 candidate control genes were selected from 25 traditional housekeeping genes based on their expression stability in 9 transcriptomes of 3 developmental stages. These genes were further evaluated using geNorm, NormFinder, and RefFinder under different conditions and developmental stages. The results revealed that MSF1 domain-containing protein (MSF1), synaptobrevin (SYB), mitogen-activated protein kinase genes (MAPK), TATA-binding protein 1 (TBP1), and SPRY domain protein (SPRY) were the most stable reference genes in all sample treatments, while elongation factor 1-alpha (EF1), actin and ubiquitin-conjugating enzyme (UBCE) were the most unstably expressed. The gene SYB was selected based on the transcriptome results and was identified as a novel reference gene in P. portentosus. This is the first detailed study on the identification of reference genes in this fungus and may provide new insights into selecting genes and quantifying gene expression.",PloS one,2023.0,United States,10.1371/journal.pone.0288982,"Journal Article, Research Support, Non-U.S. Gov't","Basidiomycota, Agaricales, Genes, Essential, R-SNARE Proteins, Transcriptome",,"geNorm, NormFinder, RefFinder, RT‒qPCR, gene expression analysis, transcriptomes, MSF1 domain-containing protein (MSF1), synaptobrevin (SYB), mitogen-activated protein kinase genes (MAPK), TATA-binding protein 1 (TBP1), SPRY domain protein (SPRY), elongation factor 1-alpha (EF1), actin, ubiquitin-conjugating enzyme (UBCE)","Phlebopus portentosus, MSF1 domain-containing protein, synaptobrevin, mitogen-activated protein kinase genes, TATA-binding protein 1, SPRY domain protein, elongation factor 1-alpha, actin, ubiquitin-conjugating enzyme."
36292772,Reference Gene Selection for qPCR Analysis in <i>Schima s</i><i>uperba</i> under Abiotic Stress.,"Yao Jun, Zhu Gang, Liang Dongcheng, He Boxiang, Wang Yingli, Cai Yanling, Zhang Qian","Quantitative real-time PCR (qPCR) is an indispensable technique for gene expression analysis in modern molecular biology. The selection and evaluation of suitable reference genes is a prerequisite for accurate gene expression analysis. <i>Schima</i><i>superba</i> is a valuable tree species that is environmentally adaptable and highly fire-resistant. In this study, 12 candidate reference genes were selected to check their stability of gene expression in different tissues under abiotic stresses: cold stress, salt stress, and drought stress by ΔCt, geNorm, NormFinder, BestKeeper, and RefFinder. The results indicated that <i>AP-2</i> was the most stably expressed overall and for the cold stress and drought stress. <i>eIF-5α</i> gene expression was the most stable under the salt stress treatment, while <i>UBQ</i> expression was the most stable across mature leaves, shoots, stems, and roots. In contrast, <i>UBC20</i>, <i>GAPDH</i>, and <i>TUB</i> were the least stably expressed genes tested. This study delivers valid reference genes in <i>S. superba</i> under the different experimental conditions, providing an important resource for the subsequent elucidation of the abiotic stress adaptation mechanisms and genes with biological importance.",Genes,2022.0,Switzerland,10.3390/genes13101887,"Journal Article, Research Support, Non-U.S. Gov't","Real-Time Polymerase Chain Reaction, Genes, Plant, Gene Expression Regulation, Plant, Stress, Physiological, Droughts","Schima superba, abiotic stress, reference gene, tissues","qPCR, ΔCt, geNorm, NormFinder, BestKeeper, RefFinder.","<i>Schima superba</i>, <i>AP-2</i>, <i>eIF-5α</i>, <i>UBQ</i>, <i>UBC20</i>, <i>GAPDH</i>, <i>TUB</i>"
37510226,Selection of Reliable Reference Genes for Gene Expression Normalization in <i>Sagittaria trifolia</i>.,"Tang Jing, Li Enjiao, Liu Jiexia, Zhang Zhiping, Hua Bing, Jiang Jiezeng, Miao Minmin","Real-time quantitative PCR (RT-qPCR) is a method with high sensitivity and convenience that has been extensively used to analyze the expression level of target genes. A reference gene with a highly stable expression is required to ensure the accuracy of experimental results. However, the report on appropriate reference genes in arrowheads (<i>Sagittaria trifolia</i>) is still limited. In this study, eight candidate reference genes (<i>ACT5</i>, <i>UBQ</i>, <i>GAPDH</i>, <i>CYP</i>, <i>NAC</i>, <i>IDH</i>, <i>SLEEPER</i> and <i>PLA</i>) were selected. The candidate genes were employed in a RT-qPCR assay in different tissues at different developmental stages of the same tissue (including corm, leaf and leafstalk) in arrowheads. Five statistical algorithms, GeNorm, NormFinder, BestKeeper, delta cycle threshold (ΔCt) and RefFinder, were used to evaluate the stability of these genes' expressions in order to identify the appropriate reference genes. The results showed that <i>UBQ</i> was the optimum reference gene in leaf, leafstalk, root, stolon and corm, <i>IDH</i> exhibited the most stable expression during the expansion of corm, <i>UBQ</i> and <i>PLA</i> were the most stable reference genes in developmental stages of leaf and leafstalk, respectively. Finally, the reliability of reference genes was further confirmed by the normalization of <i>PDS</i> and <i>EXP1</i> genes under different arrowhead tissues and developmental stages of corm, respectively. This study constitutes important guidance for the selection of reliable reference genes for analyzing the tissue- and developmental-stage-specific expression of genes in arrowheads.",Genes,2023.0,Switzerland,10.3390/genes14071321,"Journal Article, Research Support, Non-U.S. Gov't","Sagittaria, Reproducibility of Results, Real-Time Polymerase Chain Reaction, Gene Expression, Polyesters","RT-qPCR, arrowhead, corm development, different tissue, expression stability, reference gene","[RT-qPCR, GeNorm, NormFinder, BestKeeper, delta cycle threshold (ΔCt), RefFinder]","<i>Sagittaria trifolia (arrowheads), ACT5, UBQ, GAPDH, CYP, NAC, IDH, SLEEPER, PLA, PDS, EXP1</i>"
35106960,Evidence-based selection of reference genes for RT-qPCR assays in periodontal research.,"Diehl Daniel, Friedmann Anton, Bachmann Hagen S",To underline the necessity of adequate reference genes for real-time quantitative polymerase chain reaction (RT-qPCR) and evaluate a novel tool for condition-specific reference gene selection.,Clinical and experimental dental research,2022.0,United States,10.1002/cre2.525,"Journal Article, Research Support, Non-U.S. Gov't","Algorithms, Humans, Real-Time Polymerase Chain Reaction, Software","genetic research, methods, periodontics, quantitative real-time PCR","Real-time quantitative polymerase chain reaction (RT-qPCR)
Condition-specific reference gene selection.",No specific organisms are mentioned in the abstract.
39116457,Establishing validated RT-qPCR workflow for the analysis of oligodendrocyte gene expression in the developing murine brain.,"Smith Samantha, Swan Emma R, Furber Kendra L","Myelination is essential for the proper conduction of impulses across neuronal networks. Mature, myelinating glia differentiate from progenitor cells through distinct stages that correspond to oligodendrocyte-specific gene expression markers. Reverse transcription quantiatative PCR (RT-qPCR) is a common technique used to quantify gene expression across cell development; however, a lack of standardization and transparency in methodology may lead to irreproducible data. Here, we have designed and validated RT-qPCR assays for oligodendrocyte genes and reference genes in the developing C57BL6/J mouse brain that align with the MIQE guidelines, including quality controls for primer specificity, temperature dependence, and efficiency. A panel of eight commonly used reference genes was ranked using a series of reference gene stability methods that consistently identified <i>Gapdh, Sdha, Hmbs, Hprt1</i>, and <i>Pgk1</i> as the top candidates for normalization across brain regions. In the cerebrum, myelin genes peaked in expression at postnatal day 21, which corresponds to the peak of developmental myelination. The gene expression patterns from the brain homogenate were in agreement with previously reported RNA-seq and microarray profiles from oligodendrocyte lineage cells. The validated RT-qPCR assays begin to build a framework for future investigation into the molecular mechanisms that regulate myelination in mouse models of brain development, aging, and disease.",Biochemistry and cell biology = Biochimie et biologie cellulaire,2024.0,Canada,10.1139/bcb-2024-0088,"Journal Article, Research Support, Non-U.S. Gov't","Animals, Oligodendroglia, Mice, Mice, Inbred C57BL, Brain, Real-Time Polymerase Chain Reaction, Workflow, Gene Expression Regulation, Developmental, Myelin Sheath, Gene Expression Profiling","RT-qPCR, gene expression, myelin, neurodevelopment, oligodendrocyte","[RT-qPCR, MIQE guidelines, primer specificity, temperature dependence, efficiency, RNA-seq, microarray, gene expression patterns]","[C57BL6/J mice, oligodendrocytes, progenitor cells, myelinating glia, mature oligodendrocytes, MIQE guidelines, mouse brain]"
