DOI,Title,Authors,Abstract,Journal,Year
10.22401/anjs.27.5.11,Selecting Suitable Reference Gene for RT-qPCR Normalization in FFPE Breast Cancer Tissues for Duhok/Iraqi Women,", Sada S. Mohammed, Hanaa AL-Mahmoodi, , Mayada I. Yalda, ","Nowadays, with the continuously increasing advances in understanding cancer  system  biology.It  has  led  to  the  discovery  of  valuable disease-specific  biomarkers.  Bytargeting  these  markers  using molecular-basedtechniques a highly specific and sensitive measurements can be obtained. Molecular  diagnosis  through  PCR-based  methods  and  next-generation sequencing  (NGS)  can  detect  many  diseases  caused  by  DNA  and  RNA changes that cannot be detected through antibody-based techniques. RT-qPCR   isa   valuable   tool   in   measuring biomarker’stranscriptional signature  and  will  have  a  great potentialin personalized  medicine  or molecular  diagnostics.  In  related  gene  expression  analysis,  using a suitable  reference  gene  is  crucial  for  the  accurate  interpretation  of  the results. For this reason, ref. gene should be validated for particular tissue, cell and experimental conditions.  This  study was conducted to identify and validate the most suitable housekeeping gene(HKG)as a reference(ref.)gene  to  obtain  accurate  normalization  for AXL  receptor  tyrosine kinasegene expression in Formalin-Fixed Paraffin-Embedded “FFPE” of breast  cancer  tissues.  Based  on  the  five  different  statistical  algorithms used, ACTB was the least variable ref. gene and -GLOBIN showed the highest  variability. Norm  finder, Best  Keeper  and  the  comparative ΔCt method  suggested  to  use  ACTB  as  a  ref.  gene  in  our  experiment  while geNorm suggested to use the combination of both ACTB and UBC since they   had   the   same   exact   stability   value.   In   conclusion,   Reffinder suggested that ACTB had the least geomean of ranking values of the four used methods showing the least variance among the other genes and the three groups of our samples.",Al-Nahrain Journal of Science,2024
10.31083/j.fbs1604026,Evaluation of Reference Gene Stability for Investigations of Intracellular Signalling in Human Cancer and Non-Malignant Mesenchymal Stromal Cells,"Vera Kosheverova, Alexander Schwarz, Rimma Kamentseva, Marianna Kharchenko, Elena Kornilova","Background: Real-time reverse transcription quantitative polymerase chain reaction (RT-qPCR) is a powerful tool for analysing target gene expression in biological samples. To achieve reliable results by RT-qPCR, the most stable reference genes must be selected for proper data normalisation, particularly when comparing cells of different types. We aimed to choose the least variable candidate reference genes among eight housekeeping genes tested within a set of human cancer cell lines (HeLa, MCF-7, SK-UT-1B, A549, A431, SK-BR-3), as well as four lines of normal, non-malignant mesenchymal stromal cells (MSCs) of different origins. Methods: The reference gene stability was evaluated using four algorithms (BestKeeper, NormFinder, geNorm and the comparative ΔCt method) and ranked with the RefFinder web-based tool. Results: We found increased variability in the housekeeping genes’ expression in the cancer cell lines compared to that in normal MSCs. POP4 and GAPDH were identified as the most suitable reference genes in cancer cells, while 18S and B2M were the most suitable in MSCs. POP4 and EIF2B1 were shown to be the least variable genes when analysing normal and cancer cell lines together. Epidermal growth factor receptor (EGFR) mRNA relative expression was normalised by the three most stable or three least stable reference genes to demonstrate the reliability of reference genes validation. Conclusion: We analysed and selected stable reference genes for RT-qPCR analysis in the wide panel of cancer cell lines and MSCs. The study provides a reliable tool for future research concerning the expression of genes involved in various intracellular signalling pathways and emphasises the need for careful selection of suitable references before analysing target gene expression.",Frontiers in Bioscience-Scholar,2024
10.1038/s41598-024-83709-5,Cross-species stability of reference genes in medicinal plants Arnica montana and Arnica chamissonis,"Magdalena Sozoniuk, Karolina Czapla, Danuta Sugier, Krzysztof Kowalczyk",,Scientific Reports,2024
10.1038/s41598-024-82651-w,A stable combination of non-stable genes outperforms standard reference genes for RT-qPCR data normalization,"Anis Djari, Guillaume Madignier, Christian Chervin, Benoît van der Rest, James J. Giovannoni, Mondher Bouzayen, Julien Pirrello, Elie Maza",,Scientific Reports,2024
10.3390/cimb46120857,Identification and Validation of qRT-PCR Reference Genes for Analyzing Arabidopsis Responses to High-Temperature Stress,"Siyu Chen, Qi Cai, Peipei Liu, Jingru Liu, Guanzhou Chen, Hanwei Yan, Han Zheng","Quantitative real-time PCR (qRT-PCR) is an essential tool for analyzing and selecting stable reference genes. In order to screen for suitable reference genes under high-temperature stress conditions in Arabidopsis, this study measured the relative expression levels of 17 candidate reference genes using qRT-PCR. Among these, four are traditional reference genes, while the remaining thirteen are candidate reference genes with no previous reports on their use as reference genes. The expression stability of the candidate reference gene expression was analyzed and evaluated using five methods: ΔCt, geNorm, NormFinder, BestKeeper, and RefFinder. The results indicated that the LHCB4.1 and LHCB5 genes displayed the highest stability in expression under high-temperature stress conditions. To verify the stability of the reference genes, we treated Arabidopsis with high-temperature stress, used the selected LHCB4.1 and LHCB5 as references, and analyzed the expression of the heat-responsive gene HSFA2 using qRT-PCR. The results showed that when LHCB4.1 and LHCB5 were used individually or in combination as reference genes, the relative expression of HSFA2 significantly increased and remained consistent under high-temperature treatment. This indicates that both LHCB4.1 and LHCB5 are suitable reference genes for qRT-PCR analysis in Arabidopsis exposed to high-temperature stress. The novel reference genes identified in this study will serve as a reliable reference standard for gene expression studies in Arabidopsis under high-temperature stress, thereby enhancing the accuracy and comparability of experimental data.",Current Issues in Molecular Biology,2024
10.3390/fishes9120491,Selection of Reference Genes by Quantitative Real-Time PCR in Different Cell Lines from Humpback Grouper (Cromileptes altivelis),"Xiangyu Du, Han Zhang, Longfei Zhu, Zhenjie Cao, Chen Zhang, Ying Wu, Yongcan Zhou, Yun Sun","Humpback grouper (Cromileptes altivelis) is an economically important fish, but the increasing density of its farming has led to more severe disease outbreaks. To address this challenge, we established brain (CAB) and kidney (CAK) cell lines in our laboratory previously, providing a valuable tool for in vitro studies on immune responses. In this study, we used quantitative real-time polymerase chain reaction (qRT-PCR) to identify the optimal reference gene from six reference genes for CAB and CAK cells, under both normal conditions and after stimulation with LPS or Poly I: C. The qRT-PCR data were analyzed using geNorm, NormFinder, and BestKeeper software (Version 3.5) to ensure comprehensve evaluation. The results showed that RPL13 was the most stable reference gene for both CAB and CAK cells under normal conditions. Following LPS stimulation, TTLL1 was the best reference gene for CAB cells, while RPL13 remained the most suitable for CAK cells. For Poly I: C stimulation, EF1A and Actin were identified as the most stable reference genes for CAB and CAK cells, respectively. To confirm the reliability of the selected reference genes, we analyzed the expression of the cytokine genes IL-6 and IFN-h, demonstrating the dependability of these reference genes. This study lays a solid foundation for exploring gene expression patterns in humpback grouper cell lines under various experimental conditions, providing essential insights for future research into immune processes and disease control strategies in aquaculture.",Fishes,2024
10.3390/insects15120936,The Selection and Validation of Reference Genes for RT-qPCR Analysis of the Predatory Natural Enemy Orius nagaii (Hemiptera: Anthocoridae),"Chengxing Wang, Zhenjuan Yin, Yu Wang, Yan Liu, Shan Zhao, Xiaoyan Dai, Ruijuan Wang, Long Su, Hao Chen, Li Zheng, Yifan Zhai","Orius nagaii is a highly effective natural enemy for controlling thrips, tetranychids, aphids, and various Lepidoptera pests. Nevertheless, the molecular mechanisms underlying its interactions with host pests remain unclear. Screening for optimal reference genes is a prerequisite for using reverse transcription–quantitative polymerase chain reaction (RT-qPCR) to investigate the interrelationship. Here, ten commonly used reference genes (Act, GAPDH, β-Tub, EF1-α, RPS10, RPS15, RPL6, RPL13, RPL32, and HSP90) were selected, and their expression stability across developmental stages, tissues, temperatures, and host conditions were evaluated using RefFinder, which uses multiple analytical approaches (NormFinder, geNorm, the ΔCt method, and BestKeeper). The findings suggested that the most reliable normalization can be achieved by selecting the two reference genes for all conditions, with the optimal pairs being RPS10 and RPL32 for the developmental stage, RPS10 and RPS15 for tissue, RPS10 and RPS15 for the host, and EF1-α and RPL13 for temperature. Also, the best and least stable reference genes were chosen to compare the relative transcript levels of the TBX1 in various tissues, which exhibited considerable variation. Our findings will significantly enhance the reliability of RT-qPCR and provide a foundation for further research on the expression patterns of crucial genes that are implicated in the interaction between O. nagaii and its host pests.",Insects,2024
10.1186/s12864-024-11114-3,"Comprehensive analysis of housekeeping genes, tissue-specific genes, and dynamic regulation across developmental stages in pearl millet","Wei Luo, Min Sun, Ailing Zhang, Chuang Lin, Yarong Jin, Xiaoshan Wang, Linkai Huang","Abstract
                Background
                Pearl millet (Pennisetum glaucum (L.) R. Br.) is a vital cereal crop, predominantly cultivated in arid and semi-arid regions of Asia and Africa. It serves as a staple food for millions, while also being utilized as forage and an energy crop. The crop’s resistance to heat and drought, coupled with its high biomass, positions it as a promising candidate for climate-resilient agriculture. A detailed understanding of its gene expression patterns across various tissues and developmental stages is essential for enhancing its yield and quality. This study aims to fill this knowledge gap by employing RNA-seq to identify housekeeping genes (HKGs) and tissue-specific genes (TSGs) in pearl millet.
              
                Results
                Our analysis of RNA-seq data from nine tissues (seed, germ, radicle, leaf, root, tillering tissue, stem, spike, and grain) across eight developmental stages in pearl millet accession Tifleaf3 revealed a comprehensive gene expression profile. We identified 461 HKGs that exhibited stable expression across all tissues and stages, providing robust internal references for RT-qPCR. Additionally, 8091 TSGs were discovered, many of which showed distinctive expression patterns in tissues such as spike, stem, and leaf. Functional enrichment analysis of these genes using GO and KEGG pathways highlighted their roles in key biological processes and pathways, indicating their potential in crop trait enhancement. Protein-protein interaction networks constructed for stem and leaf tissues further illuminated the regulatory mechanisms underlying the transition from vegetative to reproductive growth stages.
              
                Conclusion
                This study presents a detailed transcriptomic landscape of pearl millet, identifying a set of HKGs and TSGs that are crucial for understanding the molecular basis of its growth and development. We provided valuable options for transcript normalization and crucial targets for exploring gene function for the plant growth and development in pearl millet. The insights gained from this work are instrumental for breeding programs aimed at enhancing the productivity of pearl millet, thereby contributing to food and energy security.
              ",BMC Genomics,2024
10.1038/s41598-024-81348-4,Identification of reference genes for gene expression assessment in Avena sativa under biotic stress triggered by Blumeria graminis,"Sylwia Sowa, Joanna Toporowska, Edyta Paczos-Grzęda",,Scientific Reports,2024
10.1002/aah.10234,Biotic and abiotic stress affects the stability of housekeeping genes in Catla <i>Labeo catla</i>,"Arpit Acharya, Gayatri Tripathi, Kiran D. Rasal, Mujahidkhan A. Pathan, Raja Aadil Hussain Bhat, Chandana Dinakaran, R. Bharathi Rathinam","Abstract
               
                  Objective
                  The choice of a stable reference gene plays a crucial role in gene expression analysis. In most cases, the choice of housekeeping gene (HKG) is quite random. However, the expression of HKGs varies under different experimental conditions and in different tissues.
               
               
                  Methods
                  The study focused on three reference genes in Catla Labeo catla—beta actin (β-actin), glyceraldehyde-3-phosphate dehydrogenase (GAPDH), and elongation factor-1 alpha (EF-1α)—under four experimental conditions: bacterial challenge, hypoxia, a combination of bacterial challenge and hypoxia, and control. The fish were subjected to the above-mentioned experimental circumstances, and five tissues (blood, gill, liver, kidney, and spleen) were collected at regular intervals.
               
               
                  Result
                  The investigation of gene expression in the five tissues was performed using real-time (RT) quantitative polymerase chain reaction (qPCR), and the resultant cycle threshold values were subjected to several statistical techniques via the RefFinder tool to determine the most stable HKG. The results were ordered in accordance with the stability of the reference genes. In this study, GAPDH was found to be the least stable gene, while β-actin and EF-1α remained stable in the kidney and liver under various circumstances. Other tissues demonstrated tissue- and treatment-specific stability for the various HKGs.
               
               
                  Conclusion
                  The findings indicate that GAPDH should be avoided in Catla for gene expression studies and that different algorithms should be employed to validate the stability of HKGs in RT-qPCR analysis.
               
               
                  
               ",Journal of Aquatic Animal Health,2024
